Date,Open,High,Low,Close
2023-01-20,313.98999,315.76001,312.589996,315.579987
2023-01-19,310.079987,313.809998,310.040009,313.809998
2023-01-18,313.619995,314.140015,310.109985,311.910004
2023-01-17,316.220001,316.559998,312.920013,313.75
2023-01-16,314.410004,317.630005,314.160004,316.040009
2023-01-13,312.339996,315.440002,311.959991,313.769989
2023-01-12,312.709991,312.959991,309.700012,310.700012
2023-01-11,311.660004,312.570007,309.100006,310.380005
2023-01-10,308.690002,312,308.23999,309.570007
2023-01-09,305.100006,309.809998,304.570007,309.690002
2023-01-06,296.690002,303.100006,296.399994,301.529999
2023-01-05,297.649994,299.690002,296.01001,297.869995
2023-01-04,288.339996,296.700012,287.940002,295.980011
2023-01-03,290.640015,290.950012,284.320007,289.579987
2023-01-02,292.899994,294.019989,289.190002,289.790009
2022-12-29,294.980011,295.940002,291.100006,291.100006
2022-12-28,299.359985,299.359985,296.589996,297.089996
2022-12-27,303.769989,305.019989,302.829987,304.220001
2022-12-26,301.76001,302.970001,300.660004,302.269989
2022-12-23,303.140015,304.420013,301.470001,302.070007
2022-12-22,304.660004,307.480011,303.959991,307.480011
2022-12-21,305.839996,305.98999,302.920013,303.230011
2022-12-20,305.649994,306.579987,302.959991,304.049988
2022-12-19,306.329987,307.98999,305.190002,306.769989
2022-12-16,303.480011,307.480011,303.089996,307.480011
2022-12-15,310.730011,311.980011,307.730011,307.730011
2022-12-14,310.869995,313.410004,310.570007,313.230011
2022-12-13,311.26001,311.850006,308.540009,309.559998
2022-12-12,309.380005,310.690002,308.700012,309.640015
2022-12-09,309.809998,312.059998,308.76001,311.630005
2022-12-08,308.779999,309,306.01001,308.23999
2022-12-07,309.109985,310.25,308.079987,308.269989
2022-12-06,310.899994,313.339996,309.700012,310.140015
2022-12-05,316.26001,317.070007,312.920013,313.910004
2022-12-02,320.76001,320.76001,315.019989,315.019989
2022-12-01,325.369995,325.48999,321.440002,322.019989
2022-11-30,314.350006,321.01001,314.200012,321
2022-11-29,311.790009,315.73999,311.070007,315.579987
2022-11-28,313.890015,313.890015,311.279999,312.209991
2022-11-25,317.279999,318.100006,315.76001,316.070007
2022-11-24,316.600006,317.329987,315.269989,317.299988
2022-11-23,314.839996,315.23999,312.649994,314.109985
2022-11-22,312.880005,315.089996,311.690002,312.019989
2022-11-21,317.220001,317.649994,312.98999,314.670013
2022-11-18,317.630005,320.700012,316.700012,317.119995
2022-11-17,319.980011,320.350006,316.75,316.75
2022-11-16,322.980011,322.980011,318.019989,321.959991
2022-11-15,322.76001,323.029999,319.959991,322.309998
2022-11-14,323.410004,324.730011,320.859985,321.529999
2022-11-11,320.470001,323.51001,319.970001,323.089996
2022-11-10,312.630005,314.910004,311.130005,311.130005
2022-11-09,313.399994,316.089996,312.540009,315.230011
2022-11-08,310.079987,312.570007,309.209991,312.01001
2022-11-07,306.079987,308.149994,305.049988,307.869995
2022-11-04,301.160004,304.329987,299.459991,304.329987
2022-11-03,298.549988,303.799988,297.619995,301.660004
2022-11-02,302.48999,305.100006,302.019989,303.869995
2022-11-01,300.529999,304.01001,299.839996,303.880005
2022-10-31,298.609985,300.049988,296.450012,299.579987
2022-10-28,296.799988,298.450012,294.649994,295.059998
2022-10-27,295.850006,299.190002,295.01001,298.820007
2022-10-26,292.209991,295.279999,291.399994,293.850006
2022-10-25,291.290009,293.75,290.529999,291.579987
2022-10-24,293.600006,294.23999,290.519989,291.470001
2022-10-21,287.679993,290.380005,287.440002,288.570007
2022-10-20,289.329987,290.070007,286.5,288.609985
2022-10-19,293.410004,295.339996,290.899994,291.290009
2022-10-18,293.339996,293.779999,289.769989,293.589996
2022-10-17,285.890015,290.040009,284.910004,289.570007
2022-10-14,287.589996,290.320007,286.589996,289.359985
2022-10-13,286.269989,286.359985,282.570007,282.570007
2022-10-12,285.230011,287.519989,284.320007,287.089996
2022-10-11,284.390015,284.959991,282.040009,284.959991
2022-10-07,288.350006,292.200012,287.839996,290.410004
2022-10-06,291.200012,293.320007,290.089996,291.26001
2022-10-05,293.869995,294.470001,287.440002,289.049988
2022-10-04,286.25,288.959991,285.420013,288.269989
2022-09-30,281.75,284.350006,278.390015,281.359985
2022-09-29,286.600006,287.809998,282.559998,282.649994
2022-09-28,287.660004,289.75,280.799988,283.190002
2022-09-27,290.269989,290.75,286.76001,290.200012
2022-09-26,293.649994,293.959991,289.01001,289.769989
2022-09-23,301.480011,302.089996,296.850006,297.73999
2022-09-22,300.670013,302.190002,299.299988,301.649994
2022-09-21,305.089996,306.070007,303.769989,304.670013
2022-09-20,308.76001,309.980011,306.790009,307.540009
2022-09-19,309.579987,309.890015,305.679993,306.48999
